id,content,metadata,embedding
31.01,"Serviços técnicos em edificações, eletrônica, eletrotécnica, mecânica, telecomunicações e congêneres.","{""codigo_item"":""31.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
32,Serviços de desenhos técnicos.,"{""codigo_item"":""32"",""fonte_legal"":""Lei Complementar 116/2003""}",
32.01,Serviços de desenhos técnicos.,"{""codigo_item"":""32.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
33,"Serviços de desembaraço aduaneiro, comissários, despachantes e congêneres.","{""codigo_item"":""33"",""fonte_legal"":""Lei Complementar 116/2003""}",
33.01,"Serviços de desembaraço aduaneiro, comissários, despachantes e congêneres.","{""codigo_item"":""33.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
34,"Serviços de investigações particulares, detetives e congêneres.","{""codigo_item"":""34"",""fonte_legal"":""Lei Complementar 116/2003""}",
34.01,"Serviços de investigações particulares, detetives e congêneres.","{""codigo_item"":""34.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
35,"Serviços de reportagem, assessoria de imprensa, jornalismo e relações públicas.","{""codigo_item"":""35"",""fonte_legal"":""Lei Complementar 116/2003""}",
35.01,"Serviços de reportagem, assessoria de imprensa, jornalismo e relações públicas.","{""codigo_item"":""35.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
36,Serviços de meteorologia.,"{""codigo_item"":""36"",""fonte_legal"":""Lei Complementar 116/2003""}",
36.01,Serviços de meteorologia.,"{""codigo_item"":""36.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
37,"Serviços de artistas, atletas, modelos e manequins.","{""codigo_item"":""37"",""fonte_legal"":""Lei Complementar 116/2003""}",
37.01,"Serviços de artistas, atletas, modelos e manequins.","{""codigo_item"":""37.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
38,Serviços de museologia.,"{""codigo_item"":""38"",""fonte_legal"":""Lei Complementar 116/2003""}",
38.01,Serviços de museologia.,"{""codigo_item"":""38.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
